datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,location
2012-04-01 16:00,2,0,0,1,21.32,25,52,16.9979,236,275,511,seoul
2012-09-08 14:00,3,0,0,1,33.62,38.635,52,30.0026,260,366,626,seoul
2011-01-02 12:00,4,0,1,3,7.33,10.67,6,9.3333,70,4,74,busan
2011-01-19 10:00,2,1,1,1,16.67,10,4.6667,3.3333,83,12,95,incheon
2012-09-19 5:00,1,0,1,2,16.67,17.33,5.3333,5.3333,99,9,108,incheon
2011-07-29 8:00,4,1,1,1,15.67,9.67,6.6667,8.3333,146,2,148,incheon
2011-07-19 4:00,3,0,1,1,29.52,34.09,70,8.9981,1,4,5,seoul
2012-02-11 8:00,1,0,0,3,9.02,11.365,93,8.9981,1,77,78,seoul
2011-01-02 15:00,1,0,1,1,11.33,15.33,7.6667,3.6667,68,9,77,busan
2011-08-20 7:00,1,1,0,2,16.33,12.67,4.3333,9,68,7,75,incheon
2012-01-26 5:00,4,1,0,1,15.67,17,3.3333,4,113,6,119,incheon
2011-01-02 15:00,1,1,0,1,5.67,10.33,6.3333,4.3333,22,19,41,busan
2011-12-05 8:00,1,1,1,2,4,16.67,7.6667,7.6667,14,9,23,incheon
2012-02-26 21:00,4,1,0,1,4.67,12,8,8.3333,72,2,74,seoul
2011-01-02 16:00,3,0,0,2,8.67,8.33,5.6667,8.6667,99,8,107,busan
2011-01-02 16:00,1,0,0,3,11.67,15,8.3333,9.3333,69,5,74,busan
2011-01-02 17:00,1,1,1,1,5.67,13,9.6667,7,48,10,58,busan
2011-02-10 4:00,1,0,1,2,5.74,6.82,59,15.0013,0,1,1,seoul
2012-04-30 18:00,4,1,0,2,8.33,9.33,7,5.6667,2,3,5,incheon
2011-11-18 1:00,2,0,1,2,10,12,5.6667,3.3333,118,12,130,incheon
2011-01-02 18:00,2,0,0,2,4,10.33,10,8,58,11,69,busan
2011-01-02 20:00,4,0,0,1,11,10,7.6667,8,53,4,57,busan
2011-01-02 20:00,2,1,1,3,4.67,13.67,5.3333,5,12,13,25,busan
2011-01-02 22:00,1,1,0,2,15.67,16,9.6667,10,2,10,12,busan
2012-04-04 6:00,3,0,0,1,6.33,11,9,9.6667,14,5,19,incheon
2012-08-24 9:00,3,0,0,1,16.67,18.67,6.6667,5.3333,131,10,141,incheon
2011-11-14 4:00,4,0,1,1,18.04,21.97,67,15.0013,0,5,5,seoul
2011-04-05 8:00,2,1,1,3,10,17,5,8,60,20,80,incheon
2011-07-16 15:00,3,0,0,1,31.16,34.09,45,22.0028,205,223,428,seoul
2012-12-19 16:00,4,0,1,1,17.22,21.21,50,23.9994,37,297,334,seoul
2011-03-23 6:00,3,0,1,2,16.33,14.33,8.6667,9.3333,112,16,128,seoul
2011-01-02 23:00,1,0,1,2,7.33,7.33,10,9,52,20,72,busan
2012-08-12 8:00,1,1,0,2,10.33,18,6.6667,9,1,8,9,seoul
2011-01-03 0:00,1,0,0,3,12,17.33,9.6667,5.3333,112,2,114,busan
2012-04-25 19:00,1,0,1,1,11.33,11,8.3333,8.6667,11,18,29,seoul
2011-01-03 1:00,3,0,1,2,7.67,6.67,5,7.3333,138,14,152,busan
2012-12-11 23:00,4,0,1,1,12.3,14.395,52,15.0013,4,60,64,seoul
2012-06-09 2:00,4,0,1,2,6.67,9.67,6,9.6667,116,8,124,incheon
2011-01-03 1:00,3,0,1,3,9.33,7.67,7,9.6667,39,2,41,busan
2012-07-22 13:00,3,1,0,3,6.33,17.67,6.6667,9.3333,93,8,101,incheon
2012-02-22 19:00,4,1,1,1,6.33,17.33,9,8.6667,3,19,22,incheon
2011-08-05 16:00,2,0,0,1,13,16.67,8,9,64,11,75,incheon
2011-03-01 17:00,1,0,1,1,13.94,17.425,34,6.0032,12,230,242,seoul
2012-10-15 9:00,4,1,0,1,4.33,19,5,6.6667,74,15,89,incheon
2011-01-03 2:00,1,0,1,2,4.33,12.67,9,6.6667,137,9,146,busan
2012-04-12 2:00,2,0,1,1,13.12,15.15,61,19.0012,0,4,4,seoul
2011-01-03 3:00,2,0,1,1,15.33,8.33,3.3333,6.6667,97,5,102,busan
2011-01-03 5:00,2,0,0,1,8.33,8,8.3333,5,73,20,93,busan
2011-01-03 6:00,4,1,1,2,7.33,12,7,8.6667,135,11,146,busan
2012-08-11 2:00,3,0,0,3,26.24,29.545,78,12.998,19,66,85,seoul
2011-01-03 7:00,3,1,0,1,9,10,4.3333,8,124,8,132,busan
2011-07-09 19:00,1,1,1,3,15.33,10.67,8,5.3333,94,10,104,incheon
2011-01-03 8:00,2,0,0,3,7.33,19.33,5.3333,8.6667,54,18,72,busan
2011-01-03 10:00,3,0,0,3,6.67,15.33,5,10,92,16,108,busan
2011-01-03 10:00,1,1,0,2,5,15.33,5,5,123,20,143,busan
2011-11-30 19:00,4,1,1,2,9.67,19.67,3.3333,9,78,9,87,incheon
2011-01-03 12:00,4,1,1,1,15,10,4.3333,5,29,18,47,busan
2011-01-03 12:00,2,1,1,3,12.33,7,6.3333,10,84,12,96,busan
2011-01-03 12:00,2,0,1,3,4,7.67,4.3333,4.6667,106,9,115,busan
2012-03-17 4:00,2,0,1,2,14.33,12.33,3.3333,8,69,9,78,incheon
2011-01-03 12:00,3,1,0,2,9,10.67,6.6667,9,146,13,159,busan
2011-01-03 13:00,3,1,0,2,8,18,5.3333,5.3333,46,20,66,busan
2011-01-03 13:00,2,1,1,2,15.33,7,8,5.6667,148,14,162,busan
2012-08-06 14:00,4,0,0,3,10.33,7.33,9.3333,6.3333,13,1,14,seoul
2011-05-28 18:00,2,0,0,3,13.33,11.33,5.3333,6.3333,41,20,61,seoul
2012-11-14 21:00,4,0,1,1,12.3,16.665,56,0,5,208,213,seoul
2011-11-11 20:00,1,0,1,2,12.33,9.67,7.6667,3.6667,129,18,147,incheon
2012-03-11 2:00,3,0,1,1,7.33,17.67,4.6667,9.3333,97,8,105,incheon
2012-05-19 20:00,2,1,0,1,9,8,8,6,118,18,136,incheon
2012-10-07 3:00,1,0,1,2,9.33,13.67,9,4.6667,3,18,21,incheon
2011-01-03 13:00,3,0,0,3,13.33,15.67,9.3333,7,141,1,142,busan
2012-09-07 19:00,3,0,1,1,30.34,34.09,62,19.0012,70,498,568,seoul
2012-02-16 9:00,1,0,1,2,12.3,15.15,70,11.0014,3,199,202,seoul
2011-01-03 15:00,3,1,1,3,5.67,15.33,8.3333,4.6667,80,3,83,busan
2012-03-02 23:00,2,0,1,1,8.33,19,9,4,31,18,49,incheon
2012-01-11 0:00,1,0,1,1,10.66,15.15,81,0,2,26,28,seoul
2012-05-14 23:00,2,0,1,2,23.78,27.275,78,7.0015,11,64,75,seoul
2011-02-10 0:00,2,0,0,2,4.33,13,5.3333,6.6667,89,10,99,incheon
2011-01-03 15:00,2,1,0,2,10.67,9.67,8,6.3333,60,13,73,busan
2011-02-19 9:00,2,1,1,2,5.67,9,8.6667,3.3333,134,1,135,incheon
2011-01-03 15:00,4,0,0,1,11.67,12.33,4,5.6667,44,17,61,busan
2011-05-15 13:00,1,0,0,3,10.67,17.33,7,5,132,6,138,incheon
2011-12-04 6:00,1,1,1,2,12.33,9,7.6667,8.6667,46,7,53,incheon
2012-01-09 2:00,1,0,1,1,9.84,12.12,56,8.9981,2,3,5,seoul
2012-03-27 7:00,1,0,0,3,14.33,10.33,5,10,84,15,99,seoul
2011-01-03 16:00,4,1,0,3,11,19,4,10,31,20,51,busan
2011-03-17 0:00,1,0,1,1,15.58,19.695,66,16.9979,4,19,23,seoul
2012-02-02 15:00,1,0,1,1,18.86,22.725,67,11.0014,24,150,174,seoul
2012-11-02 8:00,1,1,0,1,12.33,12.67,9.6667,7.3333,90,14,104,incheon
2011-02-18 12:00,3,1,0,2,15.33,6.67,5,8.3333,131,9,140,incheon
2011-01-03 20:00,4,0,0,2,8.33,11.33,6.3333,5.3333,64,13,77,busan
2012-11-14 3:00,3,0,1,3,8.67,10.67,5,9,116,3,119,seoul
2011-11-24 0:00,1,0,1,3,9,15.33,5.6667,9.6667,136,7,143,seoul
2012-08-17 12:00,3,0,1,1,33.62,12.12,41,15.0013,110,255,365,seoul
2011-01-03 21:00,1,0,0,2,11.67,9.67,10,7.6667,80,6,86,busan
2011-04-19 20:00,3,0,0,1,16.33,19.33,5,4.3333,82,10,92,incheon
2011-01-03 21:00,4,0,0,2,7.33,15,6.3333,4.3333,46,1,47,busan
2011-09-14 19:00,1,1,1,3,12,15.33,3.3333,8.6667,146,20,166,incheon
2012-10-07 18:00,4,1,0,2,3.67,16.33,7,7.6667,65,2,67,incheon
2012-03-03 16:00,2,0,1,3,10,14.33,8.3333,3.6667,97,17,114,seoul
2011-10-05 13:00,4,0,1,1,26.24,31.06,41,15.0013,30,189,219,seoul
2011-01-03 23:00,4,1,1,3,16.33,18.33,7.6667,4,28,2,30,busan
2011-01-03 23:00,2,0,0,1,8.33,14.33,4.3333,4.6667,7,15,22,busan
2012-04-07 14:00,1,1,1,3,16,19.67,4.3333,8,136,16,152,incheon
2011-01-04 0:00,3,1,1,1,16.33,17,9.6667,7.3333,73,7,80,busan
2011-01-04 0:00,2,0,0,1,6.33,15.67,9.3333,5,63,4,67,busan
2011-09-07 8:00,3,0,1,3,25.42,27.275,94,6.0032,9,319,328,seoul
2012-07-25 0:00,2,1,1,2,12,8,5,9,67,15,82,seoul
2012-04-01 7:00,2,0,0,2,14.76,17.425,71,8.9981,29,55,84,seoul
2011-01-04 0:00,3,0,1,1,4.67,10,4.6667,5,17,18,35,busan
2011-01-04 2:00,2,0,1,1,12.33,13.33,5.6667,6.6667,38,19,57,busan
2011-01-04 2:00,1,1,1,1,16.33,8.33,7.6667,9,33,10,43,busan
2011-01-04 2:00,1,0,0,1,14.67,9.67,8.3333,3.3333,26,5,31,busan
2011-07-02 9:00,1,1,0,2,7.33,7.33,8.3333,8.6667,143,10,153,incheon
2011-01-04 3:00,2,1,1,2,16.33,11,8,5.3333,78,13,91,busan
2011-01-21 12:00,2,0,1,1,15,10.67,9,3.3333,149,17,166,incheon
2011-03-12 14:00,2,1,1,3,5.33,13.67,4,8,22,11,33,seoul
2011-01-04 6:00,4,1,0,2,16.67,11.33,4.3333,8.6667,70,14,84,busan
2011-01-04 6:00,1,1,0,2,14,6.67,6,6,113,16,129,busan
2011-11-09 3:00,1,0,1,2,6.33,12,3.3333,9.3333,137,17,154,incheon
2011-01-04 6:00,2,0,0,1,6.33,15,3.3333,5.3333,125,20,145,busan
2011-12-05 16:00,1,0,0,3,10.33,11.33,6,8,111,15,126,incheon
2011-07-18 8:00,3,0,0,1,13,12.67,7.3333,7.3333,97,18,115,incheon
2011-01-04 7:00,2,0,0,1,4,19.67,9.3333,9,149,13,162,busan
2011-03-16 3:00,4,0,1,2,14,19.67,4.3333,7.3333,126,18,144,seoul
2012-05-10 7:00,4,0,0,1,7.33,12.67,9.3333,4,79,3,82,seoul
2011-01-04 7:00,4,1,1,2,9.33,9.67,7,9,109,19,128,busan
2011-04-09 14:00,1,1,0,2,5.33,10,8.6667,7.3333,6,15,21,incheon
2011-01-04 7:00,4,1,1,3,13,20,6,5,115,20,135,busan
2011-01-04 8:00,1,0,1,1,4.33,17.33,5,10,84,4,88,busan
2011-01-04 8:00,3,1,1,1,5.67,7.33,8,4,23,11,34,busan
2012-01-16 12:00,3,1,1,1,8,19.33,9.3333,4.3333,26,17,43,incheon
2012-01-22 12:00,2,0,0,1,15.33,19.67,5.6667,6.6667,50,16,66,incheon
2012-08-15 22:00,4,1,0,1,8.67,7.33,6,6,8,18,26,seoul
2012-10-03 13:00,3,1,1,3,10.33,16.67,5,4,66,5,71,incheon
2011-03-22 7:00,2,1,0,3,12,8.33,7.6667,4.6667,81,16,97,incheon
2011-01-04 11:00,3,0,1,2,9.67,18.33,6.3333,4.3333,99,19,118,busan
2012-12-23 1:00,4,1,1,1,15.33,19,8.3333,10,73,15,88,incheon
2011-05-09 19:00,3,1,1,3,6,20,3.6667,9.6667,105,4,109,incheon
2011-01-04 11:00,3,0,0,2,3.67,9.67,8.3333,7.6667,57,8,65,busan
2011-01-04 13:00,2,0,0,3,7.33,7.67,7,7.6667,41,2,43,busan
2012-11-19 16:00,4,0,1,1,17.22,21.21,58,16.9979,55,325,380,seoul
2011-09-30 15:00,3,1,0,3,11.67,8,4,7.3333,50,6,56,incheon
2011-01-04 14:00,1,1,0,3,16.33,19.67,8,4.6667,25,11,36,busan
2011-08-22 11:00,2,1,1,2,5,19,7.6667,5.6667,93,14,107,incheon
2011-01-04 14:00,1,1,0,2,3.67,10,4.6667,6,93,10,103,busan
2012-01-15 14:00,1,0,0,1,8.2,9.09,32,23.9994,25,163,188,seoul
2011-01-04 14:00,1,0,0,2,12,11.33,6.3333,8.3333,144,12,156,busan
2011-04-05 13:00,1,0,0,3,13.67,18.67,5.6667,7.6667,37,19,56,incheon
2011-01-04 14:00,4,0,0,3,14,16,5,9.3333,24,15,39,busan
2011-02-14 11:00,1,0,1,1,21.32,25,23,16.9979,10,43,53,seoul
2012-01-08 22:00,1,0,0,1,10.66,13.635,60,7.0015,4,54,58,seoul
2011-07-23 22:00,1,1,1,2,10.67,11.67,9.3333,8.6667,2,13,15,incheon
2011-01-04 14:00,3,0,0,2,13,12.33,4,5,12,16,28,busan
2011-08-12 22:00,2,1,1,1,15,12.33,4,6.3333,23,5,28,incheon
2011-01-04 14:00,1,0,1,2,11.33,11.67,7.3333,9,146,2,148,busan
2011-02-13 14:00,4,0,0,1,10,7.33,4,3.3333,71,12,83,seoul
2011-01-04 14:00,4,1,1,3,4.33,9.67,9.3333,5.6667,50,1,51,busan
2011-08-23 16:00,3,0,0,1,12,11.67,6.3333,9.3333,116,13,129,incheon
2012-10-30 2:00,3,0,1,1,12.67,15,6.3333,9.6667,39,1,40,seoul
2011-05-02 23:00,2,1,1,2,8.67,14,9.3333,7.6667,50,19,69,incheon
2011-01-04 15:00,3,0,1,1,3.67,13,9,4.6667,108,19,127,busan
2011-01-04 15:00,4,0,0,2,6,10.67,9,5.6667,119,13,132,busan
2011-11-30 20:00,2,0,1,2,7,17.67,7.6667,3.3333,71,1,72,incheon
2012-02-13 18:00,2,1,1,3,7,16.33,3.3333,6.6667,98,16,114,incheon
2012-12-17 12:00,4,0,1,2,16.4,20.455,87,0,21,211,232,seoul
2011-01-04 15:00,2,1,1,1,4,18.67,8,6.3333,117,2,119,busan
2011-01-04 17:00,4,0,0,2,4,15,7.6667,9.6667,147,20,167,busan
2011-01-04 19:00,1,0,0,3,11.67,16,3.6667,9,128,1,129,busan
2011-11-28 17:00,3,1,0,1,12.33,16,5.6667,3.3333,9,12,21,incheon
2012-07-17 21:00,3,0,0,2,16.67,16.67,10,9,44,16,60,incheon
2011-01-04 19:00,1,1,0,3,5,7.67,9,9,29,18,47,busan
2011-01-04 20:00,2,0,1,3,16.67,7,7.6667,10,53,8,61,busan
2011-07-15 20:00,1,0,0,1,14,13.33,6.6667,8.6667,145,10,155,incheon
2011-01-04 20:00,4,1,0,3,8.67,19,9,7.6667,26,5,31,busan
2012-12-04 21:00,4,0,1,2,20.5,24.24,63,16.9979,28,252,280,seoul
2012-11-01 9:00,4,0,1,3,14.76,18.18,57,7.0015,21,310,331,seoul
2012-03-11 10:00,1,0,0,1,13.12,15.15,49,19.0012,71,147,218,seoul
2012-04-14 23:00,1,0,1,1,10,17,5.6667,7,52,2,54,incheon
2011-08-17 20:00,1,0,1,1,10.33,11.33,8,10,65,2,67,incheon
2011-01-04 21:00,3,0,1,1,5.67,15.33,9.6667,3.6667,58,8,66,busan
2012-06-17 8:00,2,1,0,3,8,11,9,7.6667,119,6,125,incheon
2011-01-04 21:00,2,1,1,3,8,9.33,5.6667,10,56,16,72,busan
2011-01-04 23:00,1,0,1,3,9,7.33,6.6667,8.3333,34,6,40,busan
2011-08-12 4:00,2,0,1,1,15.33,12.67,6.6667,3.3333,128,16,144,incheon
2011-05-05 0:00,4,1,0,1,4.33,14,5.3333,3.3333,73,6,79,seoul
2011-09-12 23:00,4,1,1,3,9,16.33,7.6667,7.3333,16,11,27,incheon
2011-01-06 1:00,3,1,0,1,4.67,19.67,4.3333,8.3333,141,8,149,incheon
2011-03-21 13:00,3,0,0,1,11.33,14.33,10,6,121,15,136,incheon
2011-12-01 2:00,4,0,1,1,10.66,11.365,56,19.9995,1,8,9,seoul
2011-01-04 23:00,3,1,1,2,4,6.67,9,10,6,10,16,busan
2012-08-13 16:00,3,0,1,1,32.8,35.605,36,6.0032,116,348,464,seoul
2011-05-02 9:00,3,1,0,2,7,7.67,5.3333,4.6667,146,11,157,incheon
2011-01-04 23:00,1,1,0,1,11.33,9.33,5,4.6667,6,6,12,busan
2011-01-05 0:00,3,0,1,2,11.33,14,3.3333,3.6667,129,7,136,busan
2011-01-05 1:00,2,1,0,3,6,13.67,5.3333,4,95,2,97,busan
2012-01-10 22:00,1,0,1,1,12.3,15.15,70,6.0032,10,104,114,seoul
2011-01-04 0:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,seoul
2011-01-05 1:00,2,1,1,2,10.67,15.67,3.3333,8,96,17,113,busan
2011-01-05 1:00,1,1,1,2,12.67,9.33,5.3333,5.6667,80,14,94,busan
2012-08-28 5:00,3,0,0,3,12,16.67,7,5.3333,69,4,73,seoul
2012-01-05 3:00,1,0,1,1,8.2,12.88,61,0,0,4,4,seoul
2011-07-16 17:00,1,1,0,1,12.33,8.67,5,5.3333,54,1,55,incheon
2011-01-05 2:00,2,0,1,3,9.67,11.67,4,9,68,9,77,busan
2011-01-05 3:00,3,1,1,2,9.67,12.33,3.6667,9.3333,141,3,144,busan
2011-09-05 17:00,4,1,1,2,13.33,8,9.3333,4,94,16,110,incheon
2011-01-05 3:00,1,1,1,2,7.33,11.33,7.3333,5.3333,60,11,71,busan
2012-02-18 3:00,1,0,0,1,11.48,14.395,65,7.0015,3,15,18,seoul
2011-11-25 21:00,3,0,1,2,15.67,12.67,5.3333,10,142,20,162,incheon
2012-04-23 1:00,1,0,0,1,6.67,7.67,8,4.3333,81,11,92,seoul
2012-12-29 15:00,2,0,0,3,10.67,14.67,8,4.6667,77,18,95,incheon
2012-09-03 19:00,4,1,0,1,4.67,16,6.6667,3.6667,16,4,20,incheon
2012-10-13 17:00,2,1,0,1,8.67,20,5,5,83,3,86,seoul
2011-01-05 5:00,4,0,1,1,15.67,8.67,4,3.3333,76,4,80,busan
2011-01-05 7:00,4,1,1,1,13,20,5.6667,7,115,4,119,busan
2011-05-11 13:00,3,0,0,3,7.67,9.33,8.6667,4,114,13,127,incheon
2011-01-05 8:00,2,1,1,2,7,8.67,6.3333,9,101,2,103,busan
2011-01-05 8:00,2,0,0,3,16.33,10,7.3333,3.6667,19,14,33,busan
2012-10-14 20:00,4,0,0,1,22.14,25.76,73,15.0013,48,198,246,seoul
2011-10-07 5:00,4,0,1,1,17.22,21.21,82,0,3,24,27,seoul
2011-01-05 10:00,2,0,0,2,15.33,7,4.6667,6,91,16,107,busan
2012-08-11 23:00,2,0,0,3,4,18.67,7,10,105,6,111,incheon
2011-02-06 12:00,1,1,1,3,14.33,15.67,6,4,148,14,162,incheon
2012-02-02 22:00,2,0,1,2,6,10.33,7,4.3333,24,10,34,incheon
2011-10-14 7:00,3,1,0,2,13,9.33,9.3333,6,135,18,153,incheon
2011-01-05 11:00,1,0,0,1,8.33,12.67,5,7,65,3,68,busan
2012-04-12 12:00,2,0,0,3,8.67,16.33,5,5,84,9,93,incheon
2012-02-09 23:00,1,0,1,2,12.3,16.665,52,0,9,75,84,seoul
2011-01-05 12:00,3,0,0,2,9.33,6.67,4,10,29,13,42,busan
2011-04-06 12:00,2,1,1,1,5.67,20,7.3333,7,85,3,88,seoul
2011-07-28 20:00,3,1,0,2,11,6.67,6.3333,6.6667,90,18,108,incheon
2011-10-02 15:00,4,0,1,3,4,14.67,8,4.6667,37,14,51,seoul
2012-03-22 7:00,4,1,1,1,11.67,12.67,4.6667,10,23,19,42,seoul
2011-01-05 12:00,1,0,0,1,10.33,12.67,5,10,147,6,153,busan
2011-01-05 15:00,3,1,1,1,4.33,8,6.3333,9.3333,63,16,79,busan
2011-03-18 18:00,1,0,1,2,6.33,10,3.6667,4,62,7,69,seoul
2011-09-18 3:00,4,0,1,3,10.67,13.67,4.3333,6.6667,117,17,134,incheon
2011-01-05 16:00,4,0,0,3,12.67,16,5,7,25,1,26,busan
2011-04-17 14:00,2,0,0,1,21.32,25,34,26.0027,170,191,361,seoul
2011-09-18 4:00,3,0,0,1,18.04,21.97,77,15.0013,1,0,1,seoul
2011-01-05 17:00,1,1,1,2,5.33,20,3.6667,6.6667,82,9,91,busan
2011-03-03 13:00,3,1,1,2,15.33,15.33,6.3333,5,83,4,87,incheon
2011-10-02 12:00,4,1,0,3,8.67,18.33,6.3333,10,36,1,37,seoul
2011-09-05 9:00,3,1,0,3,27.88,31.82,74,11.0014,63,89,152,seoul
2011-09-12 0:00,3,1,1,1,6.33,18.67,6.6667,4.6667,51,3,54,seoul
2012-09-18 5:00,1,1,0,2,14.67,19.67,8.6667,6.3333,136,5,141,seoul
2011-01-05 18:00,4,1,1,3,11.67,12.33,5.3333,10,107,12,119,busan
2012-12-12 9:00,4,0,1,2,11.48,14.395,61,8.9981,13,272,285,seoul
2011-01-05 19:00,1,1,0,1,16,14.67,4.3333,8.3333,130,2,132,busan
2011-01-05 19:00,4,0,0,3,11,17.33,3.6667,6,109,7,116,busan
2012-04-26 14:00,2,0,0,1,16.33,19,7.6667,6,116,18,134,incheon
2011-04-04 1:00,4,0,1,3,13.33,14.67,5.3333,10,66,14,80,incheon
2011-02-27 0:00,1,0,0,3,11,7,10,7.6667,23,4,27,incheon
2011-01-16 17:00,1,1,0,1,5.33,7.67,5.6667,4.6667,136,14,150,seoul
2011-01-05 20:00,4,0,1,3,10.67,10,6,3.3333,81,4,85,busan
2011-01-05 22:00,3,0,0,3,15.33,16.67,4.6667,6,112,5,117,busan
2011-11-24 16:00,3,0,0,1,16.67,17.67,4.3333,10,76,15,91,incheon
2011-04-30 3:00,3,0,0,1,16.67,16,6.6667,5.3333,60,5,65,incheon
2011-01-05 22:00,3,1,0,2,10.67,15.67,4,3.3333,72,20,92,busan
2011-01-05 23:00,4,1,0,2,9.67,16.67,10,7,148,20,168,busan
2011-01-05 23:00,3,0,0,2,5.33,17.33,7.6667,6,76,4,80,busan
2011-11-26 12:00,3,0,0,3,4.33,17.67,4,8.3333,35,8,43,incheon
2011-01-06 0:00,3,0,1,2,16.67,16.67,9.3333,5.3333,14,19,33,busan
2011-01-06 0:00,3,0,0,1,9.67,11,3.6667,8,27,7,34,busan
2011-01-06 1:00,2,1,1,1,9,16,4.6667,8.6667,65,10,75,busan
2012-09-12 7:00,4,0,0,3,15,7,9.6667,5.3333,130,18,148,incheon
2011-11-21 19:00,3,1,0,3,4.33,14.33,5,8,34,7,41,seoul
2011-04-24 21:00,3,1,1,2,4.67,16.67,8.6667,9,85,17,102,seoul
2011-01-06 1:00,1,1,0,3,4,18.33,3.6667,6,87,12,99,busan
2011-01-06 1:00,2,1,1,2,9,16.67,7.3333,6.6667,144,15,159,busan
2011-02-05 4:00,2,0,1,2,4,18.67,8.6667,9.6667,148,3,151,incheon
2012-07-11 12:00,1,0,0,3,14.33,9.67,5.3333,4.3333,97,19,116,incheon
2012-05-14 11:00,4,0,1,1,10.67,20,4.6667,3.3333,43,8,51,seoul
2011-10-01 14:00,4,0,0,2,17.22,21.21,71,23.9994,33,147,180,seoul
2012-03-30 23:00,3,1,1,3,12.67,7.67,4.6667,7.6667,126,11,137,seoul
2011-01-06 2:00,1,0,1,2,6.33,16,9.6667,4.3333,134,19,153,busan
2011-02-10 23:00,1,0,0,3,14,13,7.6667,5.6667,101,11,112,incheon
2011-11-13 11:00,3,1,0,3,5.33,13.67,4.6667,4.3333,33,10,43,seoul
2011-01-06 2:00,2,0,1,3,16.67,10.33,9.3333,6,60,4,64,busan
